time,energy,mass,size
1,2116,16.9216,0
2,4232,16.7744,0
3,6348,16.6272,0
4,8464,16.48,0
5,10580,16.3328,0
6,12696,16.1856,0
7,14812,16.0384,0
8,16908,15.9024,0
9,19012,15.76,0
10,21116,15.6208,0
11,23188,15.496,0
12,25264,15.3664,0
13,27344,15.24,0
14,29404,15.1184,0
15,31436,15.0096,0
16,33500,14.8864,0
17,35520,14.7824,0
18,37516,14.6864,0
19,39532,14.5856,0
20,41532,14.488,0
21,43500,14.4048,0
22,45460,14.3248,0
23,47420,14.2464,0
24,49332,14.184,0
25,51276,14.1088,0
26,53192,14.0464,0
27,55140,13.9712,0
28,57060,13.9056,0
29,58992,13.8336,0
30,60904,13.7744,0
31,62824,13.7056,0
32,64732,13.6448,0
33,66672,13.568,0
34,68576,13.504,0
35,70500,13.4352,0
36,72396,13.376,0
37,74308,13.3088,0
38,76200,13.2464,0
39,78108,13.1824,0
40,80016,13.112,0
41,81916,13.0512,0
42,83788,12.9936,0
43,85680,12.928,0
44,87544,12.8736,0
45,89432,12.808,0
46,91300,12.752,0
47,93176,12.6832,0
48,95044,12.624,0
49,96896,12.568,0
50,98748,12.5088,0
51,100588,12.4528,0
52,102420,12.3968,0
53,104252,12.3456,0
54,106072,12.2944,0
55,107896,12.2368,0
56,109732,12.1808,0
57,111528,12.1296,0
58,113324,12.08,0
59,115116,12.0336,0
60,116896,11.9856,0
61,118672,11.9424,0
62,120404,11.904,0
63,122192,11.8544,0
64,123952,11.8064,0
65,125668,11.768,0
66,127436,11.7232,0
67,129192,11.6768,0
68,130912,11.6336,0
69,132656,11.6032,0
70,134408,11.5568,0
71,136132,11.5072,0
72,137872,11.4752,0
73,139584,11.44,0
74,141300,11.4032,0
75,143044,11.3616,0
76,144772,11.3184,0
77,146488,11.2768,0
78,148228,11.232,0
79,149944,11.1904,0
80,151652,11.1456,0
81,153380,11.104,0
82,155088,11.0704,0
83,156796,11.0304,0
84,158528,10.9856,0
85,160232,10.9456,0
86,161904,10.912,0
87,163616,10.8768,0
88,165288,10.8368,0
89,166928,10.8112,0
90,168640,10.7744,0
91,170308,10.7296,0
92,171984,10.696,0
93,173692,10.6592,0
94,175356,10.6192,0
95,177028,10.576,0
96,178720,10.536,0
97,180372,10.5008,0
98,182020,10.4672,0
99,183716,10.4288,0
100,185356,10.3936,0
101,186944,10.3648,0
102,188552,10.3344,0
103,190196,10.3008,0
104,191820,10.2688,0
105,193404,10.2416,0
106,195012,10.2048,0
107,196612,10.176,0
108,198192,10.1488,0
109,199764,10.1216,0
110,201356,10.0816,0
111,202964,10.048,0
112,204564,10.0096,0
113,206144,9.9792,0
114,207728,9.9504,0
115,209324,9.9184,0
116,210892,9.8864,0
117,212468,9.8592,0
118,214032,9.8304,0
119,215616,9.7968,0
120,217164,9.7664,0
121,218720,9.7376,0
122,220260,9.7088,0
123,221828,9.68,0
124,223392,9.6528,0
125,224964,9.624,0
126,226528,9.5952,0
127,228048,9.5696,0
128,229588,9.544,0
129,231160,9.5152,0
130,232708,9.4848,0
131,234236,9.456,0
132,235764,9.4272,0
133,237292,9.4016,0
134,238844,9.3728,0
135,240404,9.336,0
136,241932,9.3088,0
137,243464,9.2864,0
138,244980,9.2672,0
139,246528,9.232,0
140,248048,9.1984,0
141,249540,9.176,0
142,251060,9.1504,0
143,252592,9.1184,0
144,254128,9.088,0
145,255620,9.0688,0
146,257108,9.0512,0
147,258628,9.016,0
148,260168,8.9856,0
149,261644,8.9632,0
150,263120,8.9408,0
151,264620,8.912,0
152,266132,8.8832,0
153,267624,8.8608,0
154,269084,8.8432,0
155,270580,8.8128,0
156,272112,8.776,0
157,273616,8.7424,0
158,275076,8.7248,0
159,276540,8.704,0
160,278016,8.6784,0
161,279492,8.6464,0
162,280980,8.6176,0
163,282460,8.5888,0
164,283900,8.5696,0
165,285340,8.5504,0
166,286792,8.5296,0
167,288236,8.504,0
168,289704,8.472,0
169,291148,8.448,0
170,292576,8.4272,0
171,294004,8.4048,0
172,295460,8.3824,0
173,296904,8.3584,0
174,298368,8.3312,0
175,299796,8.3056,0
176,301200,8.2864,0
177,302612,8.2704,0
178,304040,8.248,0
179,305504,8.2192,0
180,306948,8.1872,0
181,308360,8.168,0
182,309748,8.1536,0
183,311148,8.1312,0
184,312572,8.1024,0
185,313952,8.0736,0
186,315328,8.056,0
187,316728,8.0368,0
188,318120,8.0176,0
189,319508,7.9952,0
190,320868,7.976,0
191,322256,7.9472,0
192,323680,7.912,0
193,325076,7.9024,0
194,326448,7.8864,0
195,327796,7.8608,0
196,329160,7.84,0
197,330580,7.8128,0
198,331968,7.7952,0
199,333332,7.7728,0
200,334708,7.7504,0
201,336068,7.728,0
202,337424,7.7072,0
203,338788,7.6928,0
204,340152,7.6752,0
205,341528,7.648,0
206,342848,7.6288,0
207,344208,7.6128,0
208,345560,7.5904,0
209,346888,7.5728,0
210,348260,7.5472,0
211,349584,7.5312,0
212,350916,7.5136,0
213,352244,7.4928,0
214,353564,7.4768,0
215,354900,7.4544,0
216,356248,7.432,0
217,357600,7.4096,0
218,358944,7.3808,0
219,360272,7.3632,0
220,361584,7.344,0
221,362904,7.3264,0
222,364208,7.3088,0
223,365496,7.296,0
224,366792,7.2752,0
225,368104,7.2624,0
226,369432,7.2464,0
227,370752,7.2208,0
228,372104,7.2,0
229,373436,7.1808,0
230,374744,7.1584,0
231,376036,7.136,0
232,377328,7.1184,0
233,378636,7.1056,0
234,379924,7.0928,0
235,381232,7.0704,0
236,382536,7.0496,0
237,383840,7.0256,0
238,385168,7.0032,0
239,386480,6.9872,0
240,387776,6.968,0
241,389048,6.952,0
242,390360,6.936,0
243,391660,6.9216,0
244,392972,6.9024,0
245,394232,6.8896,0
246,395496,6.872,0
247,396748,6.8576,0
248,398028,6.8416,0
249,399280,6.8208,0
250,400560,6.8048,0
251,401800,6.7872,0
252,403048,6.776,0
253,404320,6.7632,0
254,405620,6.736,0
255,406896,6.7056,0
256,408152,6.6816,0
257,409412,6.6624,0
258,410648,6.648,0
259,411884,6.6384,0
260,413164,6.616,0
261,414396,6.5936,0
262,415644,6.5712,0
263,416856,6.5552,0
264,418048,6.5488,0
265,419276,6.5408,0
266,420500,6.5248,0
267,421692,6.5104,0
268,422916,6.488,0
269,424112,6.4656,0
270,425336,6.4528,0
271,426564,6.4384,0
272,427856,6.4208,0
273,429092,6.4048,0
274,430328,6.384,0
275,431572,6.3696,0
276,432828,6.3504,0
277,434092,6.3216,0
278,435328,6.304,0
279,436532,6.2912,0
280,437728,6.2736,0
281,438932,6.256,0
282,440188,6.2368,0
283,441432,6.2192,0
284,442656,6.2032,0
285,443876,6.1888,0
286,445084,6.1664,0
287,446256,6.1552,0
288,447452,6.1456,0
289,448612,6.128,0
290,449760,6.1136,0
291,450948,6.1024,0
292,452160,6.0816,0
293,453376,6.0624,0
294,454588,6.048,0
295,455760,6.04,0
296,456912,6.0272,0
297,458056,6.0144,0
298,459200,6.0032,0
299,460356,5.9936,0
300,461532,5.9792,0
301,462688,5.9632,0
302,463848,5.9456,0
303,465020,5.9232,0
304,466164,5.9088,0
305,467344,5.8944,0
306,468532,5.8784,0
307,469748,5.8576,0
308,470932,5.84,0
309,472096,5.8304,0
310,473264,5.8208,0
311,474420,5.8064,0
312,475600,5.7824,0
313,476768,5.7616,0
314,477916,5.7472,0
315,479000,5.7392,0
316,480108,5.7264,0
317,481176,5.7184,0
318,482268,5.7104,0
319,483412,5.696,0
320,484524,5.6832,0
321,485672,5.6656,0
322,486820,5.648,0
323,487932,5.6368,0
324,489012,5.6224,0
325,490132,5.6048,0
326,491260,5.584,0
327,492396,5.5664,0
328,493532,5.5552,0
329,494696,5.536,0
330,495796,5.5248,0
331,496864,5.5152,0
332,497948,5.504,0
333,499056,5.488,0
334,500188,5.464,0
335,501300,5.4464,0
336,502416,5.4368,0
337,503508,5.4256,0
338,504588,5.4144,0
339,505676,5.4048,0
340,506760,5.3936,0
341,507804,5.3776,0
342,508876,5.3632,0
343,509960,5.3456,0
344,511044,5.336,0
345,512116,5.3264,0
346,513176,5.3152,0
347,514236,5.304,0
348,515328,5.288,0
349,516380,5.2784,0
350,517448,5.264,0
351,518512,5.2464,0
352,519616,5.2336,0
353,520652,5.224,0
354,521680,5.2192,0
355,522744,5.2064,0
356,523820,5.1904,0
357,524864,5.1792,0
358,525892,5.1696,0
359,526940,5.1488,0
360,527992,5.1344,0
361,529044,5.1264,0
362,530072,5.1104,0
363,531120,5.0944,0
364,532188,5.08,0
365,533248,5.0656,0
366,534308,5.0528,0
367,535364,5.0432,0
368,536396,5.0352,0
369,537420,5.0256,0
370,538484,5.0048,0
371,539564,4.9872,0
372,540640,4.9728,0
373,541692,4.96,0
374,542740,4.9472,0
375,543804,4.9344,0
376,544836,4.928,0
377,545812,4.9248,0
378,546796,4.9168,0
379,547800,4.904,0
380,548800,4.8832,0
381,549808,4.8704,0
382,550808,4.8592,0
383,551876,4.848,0
384,552900,4.84,0
385,553928,4.8288,0
386,554936,4.816,0
387,555976,4.8048,0
388,556992,4.7904,0
389,558020,4.7728,0
390,559060,4.7568,0
391,560068,4.7488,0
392,561080,4.736,0
393,562112,4.7216,0
394,563132,4.7072,0
395,564148,4.6944,0
396,565176,4.6768,0
397,566220,4.6576,0
398,567196,4.6464,0
399,568192,4.6416,0
400,569152,4.6336,0
401,570136,4.624,0
402,571156,4.608,0
403,572164,4.5952,0
404,573128,4.5824,0
405,574096,4.5744,0
406,575076,4.5616,0
407,576052,4.5536,0
408,577016,4.5456,0
409,577992,4.5376,0
410,578956,4.528,0
411,579948,4.5184,0
412,580932,4.504,0
413,581948,4.4864,0
414,582924,4.4768,0
415,583896,4.4704,0
416,584876,4.4624,0
417,585860,4.4512,0
418,586840,4.44,0
419,587824,4.432,0
420,588784,4.4192,0
421,589744,4.4096,0
422,590716,4.3952,0
423,591700,4.3776,0
424,592648,4.368,0
425,593552,4.3584,0
426,594456,4.3504,0
427,595372,4.3456,0
428,596288,4.336,0
429,597228,4.3248,0
430,598176,4.312,0
431,599120,4.304,0
432,600064,4.2944,0
433,601024,4.28,0
434,601960,4.2688,0
435,602872,4.2608,0
436,603752,4.2496,0
437,604700,4.2368,0
438,605664,4.224,0
439,606600,4.216,0
440,607536,4.2064,0
441,608488,4.1904,0
442,609412,4.1824,0
443,610368,4.1696,0
444,611348,4.152,0
445,612280,4.1392,0
446,613212,4.1296,0
447,614084,4.1232,0
448,614976,4.12,0
449,615884,4.1104,0
450,616780,4.0928,0
451,617712,4.0784,0
452,618616,4.0704,0
453,619552,4.0592,0
454,620456,4.0464,0
455,621332,4.0368,0
456,622224,4.024,0
457,623112,4.0144,0
458,623992,4.0096,0
459,624844,4.0032,0
460,625744,3.9904,0
461,626616,3.976,0
462,627520,3.968,0
463,628436,3.9536,0
464,629308,3.9408,0
465,630180,3.9376,0
466,631072,3.9312,0
467,631956,3.9216,0
468,632828,3.9168,0
469,633680,3.904,0
470,634536,3.8912,0
471,635400,3.88,0
472,636276,3.8688,0
473,637172,3.8544,0
474,638020,3.8464,0
475,638880,3.8368,0
476,639768,3.824,0
477,640668,3.8176,0
478,641556,3.808,0
479,642460,3.7952,0
480,643316,3.7824,0
481,644172,3.7728,0
482,644980,3.7696,0
483,645832,3.7616,0
484,646664,3.7552,0
485,647496,3.7456,0
486,648320,3.7376,0
487,649180,3.7328,0
488,650008,3.728,0
489,650812,3.72,0
490,651648,3.7072,0
491,652488,3.6992,0
492,653312,3.6896,0
493,654172,3.68,0
494,655032,3.6752,0
495,655904,3.6656,0
496,656776,3.6592,0
497,657632,3.6448,0
498,658492,3.632,0
499,659320,3.616,0
500,660172,3.6016,0
501,660984,3.5936,0
502,661824,3.5888,0
503,662608,3.584,0
504,663404,3.576,0
505,664224,3.5712,0
506,665032,3.5664,0
507,665856,3.552,0
508,666652,3.5408,0
509,667444,3.5312,0
510,668236,3.52,0
511,669068,3.512,0
512,669904,3.504,0
513,670720,3.496,0
514,671480,3.4912,0
515,672268,3.4848,0
516,673080,3.4816,0
517,673920,3.4688,0
518,674692,3.456,0
519,675468,3.4448,0
520,676260,3.4336,0
521,677052,3.4272,0
522,677848,3.4224,0
523,678616,3.4192,0
524,679388,3.4112,0
525,680144,3.4016,0
526,680864,3.3952,0
527,681664,3.384,0
528,682440,3.3792,0
529,683244,3.3696,0
530,684112,3.3568,0
531,684936,3.3424,0
532,685716,3.3296,0
533,686500,3.32,0
534,687304,3.312,0
535,688092,3.3056,0
536,688860,3.3024,0
537,689648,3.2976,0
538,690444,3.2848,0
539,691260,3.2672,0
540,692028,3.2624,0
541,692816,3.2544,0
542,693624,3.24,0
543,694408,3.2304,0
544,695152,3.2176,0
545,695900,3.2032,0
546,696648,3.1984,0
547,697372,3.1968,0
548,698116,3.1904,0
549,698868,3.1824,0
550,699596,3.176,0
551,700340,3.1712,0
552,701072,3.1648,0
553,701836,3.1488,0
554,702584,3.136,0
555,703336,3.1248,0
556,704068,3.112,0
557,704808,3.1072,0
558,705520,3.1008,0
559,706192,3.096,0
560,706856,3.0928,0
561,707512,3.0928,0
562,708220,3.0928,0
563,708912,3.0896,0
564,709648,3.0816,0
565,710388,3.0736,0
566,711144,3.0576,0
567,711856,3.0384,0
568,712580,3.024,0
569,713256,3.0192,0
570,713936,3.0176,0
571,714644,3.0128,0
572,715312,3.008,0
573,715940,3.0064,0
574,716612,3.0032,0
575,717288,3.0,0
576,718004,2.9904,0
577,718748,2.9744,0
578,719492,2.9568,0
579,720240,2.9456,0
580,720952,2.9392,0
581,721652,2.928,0
582,722336,2.9216,0
583,723032,2.9136,0
584,723720,2.912,0
585,724412,2.9072,0
586,725080,2.9024,0
587,725712,2.8992,0
588,726340,2.8944,0
589,726992,2.8864,0
590,727656,2.8784,0
591,728312,2.8688,0
592,728972,2.8608,0
593,729608,2.8544,0
594,730288,2.848,0
595,730956,2.8416,0
596,731628,2.8352,0
597,732288,2.8288,0
598,732980,2.8176,0
599,733616,2.8112,0
600,734264,2.808,0
601,734924,2.8032,0
602,735572,2.7968,0
603,736248,2.792,0
604,736920,2.7856,0
605,737568,2.7728,0
606,738188,2.7632,0
607,738852,2.7584,0
608,739492,2.7552,0
609,740128,2.7456,0
610,740772,2.7392,0
611,741416,2.7328,0
612,742088,2.7248,0
613,742716,2.7184,0
614,743316,2.712,0
615,743948,2.7072,0
616,744576,2.7008,0
617,745192,2.6944,0
618,745836,2.6896,0
619,746460,2.6832,0
620,747060,2.6784,0
621,747640,2.6768,0
622,748228,2.6752,0
623,748856,2.6688,0
624,749484,2.6592,0
625,750112,2.6512,0
626,750736,2.6464,0
627,751388,2.64,0
628,752048,2.6336,0
629,752752,2.6256,0
630,753380,2.6144,0
631,753944,2.608,0
632,754496,2.6048,0
633,755088,2.6,0
634,755668,2.5936,0
635,756240,2.584,0
636,756836,2.5792,0
637,757452,2.5728,0
638,758088,2.568,0
639,758684,2.56,0
640,759284,2.5536,0
641,759864,2.5456,0
642,760452,2.536,0
643,761036,2.5328,0
644,761628,2.5296,0
645,762240,2.5248,0
646,762812,2.5152,0
647,763404,2.5104,0
648,764028,2.504,0
649,764636,2.4928,0
650,765216,2.488,0
651,765764,2.4848,0
652,766340,2.4832,0
653,766924,2.4736,0
654,767508,2.4592,0
655,768084,2.448,0
656,768636,2.4448,0
657,769212,2.4384,0
658,769728,2.4336,0
659,770300,2.4288,0
660,770852,2.4208,0
661,771424,2.416,0
662,772016,2.408,0
663,772636,2.4016,0
664,773224,2.3904,0
665,773844,2.384,0
666,774420,2.3808,0
667,775008,2.3744,0
668,775560,2.3712,0
669,776080,2.3664,0
670,776600,2.36,0
671,777144,2.3552,0
672,777712,2.3424,0
673,778252,2.336,0
674,778804,2.3296,0
675,779336,2.3248,0
676,779888,2.3216,0
677,780408,2.3152,0
678,780928,2.312,0
679,781504,2.3104,0
680,782068,2.304,0
681,782648,2.2992,0
682,783204,2.296,0
683,783732,2.2896,0
684,784232,2.2832,0
685,784768,2.2736,0
686,785316,2.2672,0
687,785824,2.2592,0
688,786308,2.2544,0
689,786804,2.248,0
690,787248,2.2432,0
691,787720,2.24,0
692,788208,2.2352,0
693,788700,2.2336,0
694,789176,2.2304,0
695,789652,2.224,0
696,790160,2.2192,0
697,790680,2.2112,0
698,791236,2.2016,0
699,791788,2.192,0
700,792280,2.1856,0
701,792784,2.184,0
702,793304,2.1824,0
703,793744,2.1808,0
704,794256,2.1744,0
705,794764,2.1696,0
706,795240,2.168,0
707,795696,2.16,0
708,796112,2.1584,0
709,796548,2.1568,0
710,796944,2.1552,0
711,797344,2.1536,0
712,797768,2.1504,0
713,798204,2.1488,0
714,798620,2.1472,0
715,799108,2.1424,0
716,799568,2.1392,0
717,800000,2.136,0
718,800444,2.1312,0
719,800920,2.1264,0
720,801380,2.1216,0
721,801812,2.1168,0
722,802288,2.1088,0
723,802780,2.0992,0
724,803216,2.0896,0
725,803628,2.0816,0
726,804048,2.0768,0
727,804444,2.0736,0
728,804812,2.0688,0
729,805136,2.0656,0
730,805488,2.0656,0
731,805888,2.064,0
732,806248,2.0624,0
733,806616,2.0608,0
734,807020,2.056,0
735,807408,2.0496,0
736,807812,2.0416,0
737,808220,2.0384,0
738,808632,2.032,0
739,809040,2.024,0
740,809456,2.0128,0
741,809852,2.0048,0
742,810228,2.0,0
743,810576,1.9968,0
744,810940,1.9968,0
745,811332,1.9952,0
746,811712,1.9872,0
747,812080,1.9792,0
748,812460,1.976,0
749,812832,1.9712,0
750,813180,1.9696,0
751,813532,1.9696,0
752,813884,1.968,0
753,814240,1.9664,0
754,814612,1.9648,0
755,815004,1.9584,0
756,815376,1.9504,0
757,815752,1.9472,0
758,816104,1.9456,0
759,816424,1.9456,0
760,816780,1.9424,0
761,817100,1.9408,0
762,817452,1.936,0
763,817792,1.928,0
764,818116,1.92,0
765,818484,1.9136,0
766,818840,1.9072,0
767,819168,1.9024,0
768,819460,1.8944,0
769,819768,1.888,0
770,820056,1.8832,0
771,820352,1.8784,0
772,820652,1.8768,0
773,820920,1.8736,0
774,821140,1.872,0
775,821348,1.872,0
776,821572,1.8704,0
777,821824,1.8688,0
778,822068,1.8656,0
779,822324,1.8608,0
780,822568,1.8576,0
781,822800,1.8576,0
782,823012,1.8576,0
783,823228,1.8576,0
784,823460,1.8544,0
785,823680,1.8528,0
786,823884,1.8512,0
787,824068,1.8512,0
788,824256,1.8512,0
789,824448,1.8512,0
790,824644,1.8496,0
791,824820,1.8496,0
792,824988,1.8496,0
793,825176,1.848,0
794,825372,1.848,0
795,825564,1.848,0
796,825752,1.8448,0
797,825944,1.8384,0
798,826136,1.8352,0
799,826316,1.832,0
800,826460,1.8288,0
801,826620,1.8224,0
802,826780,1.816,0
803,826916,1.8096,0
804,827052,1.8064,0
805,827160,1.8064,0
806,827244,1.8064,0
807,827332,1.8048,0
808,827428,1.8032,0
809,827536,1.8032,0
810,827652,1.8032,0
811,827776,1.8032,0
812,827904,1.8032,0
813,828040,1.8,0
814,828140,1.7984,0
815,828232,1.7968,0
816,828356,1.7952,0
817,828492,1.7888,0
818,828636,1.7808,0
819,828740,1.7776,0
820,828812,1.7776,0
821,828880,1.7776,0
822,828952,1.7776,0
823,829032,1.7776,0
824,829116,1.7776,0
825,829204,1.776,0
826,829304,1.7712,0
827,829416,1.7696,0
828,829536,1.768,0
829,829660,1.7648,0
830,829788,1.76,0
831,829880,1.7584,0
832,829932,1.7584,0
833,829992,1.7584,0
834,830068,1.7584,0
835,830164,1.7584,0
836,830268,1.7568,0
837,830360,1.7552,0
838,830448,1.7552,0
839,830552,1.7536,0
840,830672,1.752,0
841,830788,1.752,0
842,830904,1.752,0
843,830992,1.752,0
844,831044,1.752,0
845,831108,1.752,0
846,831200,1.7504,0
847,831292,1.7456,0
848,831364,1.7424,0
849,831452,1.7392,0
850,831532,1.7392,0
851,831604,1.7392,0
852,831680,1.7376,0
853,831728,1.7376,0
854,831784,1.7376,0
855,831836,1.7376,0
856,831884,1.7376,0
857,831932,1.7376,0
858,831980,1.736,0
859,832016,1.7344,0
860,832040,1.7344,0
861,832056,1.7344,0
862,832072,1.7328,0
863,832076,1.7328,0
864,832080,1.7328,0
865,832080,1.7328,0
